age,gender,interest_history,interest_mathematics,interest_physics,interest_computers,interest_economy,interest_medical,interest_law,interest_geography,interest_psychology,phobia_Flying,phobia_storm,phobia_darkness,phobia_heights,phobia_ageing,phobia_public_speaking
20.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,afraid,Very much afraid,Very afraid,Slightly afraid,afraid,Slightly afraid
19.0,female,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,afraid,afraid,Not afraid,Very much afraid,Slightly afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Very much afraid,afraid,afraid,Slightly afraid,afraid,Slightly afraid
17.0,female,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,afraid,Slightly afraid,Not afraid,afraid,Not afraid,Slightly afraid
23.0,female,Disagree,Disagree,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid
20.0,female,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly agree,Not afraid,Slightly afraid,Not afraid,Very afraid,Not afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Not afraid,afraid,afraid,Not afraid,Very much afraid,afraid
19.0,male,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,afraid,Not afraid,Not afraid,Very afraid,afraid,afraid
20.0,female,Disagree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Not afraid,Not afraid,Very afraid,Very afraid,Slightly afraid,Very much afraid
19.0,male,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
19.0,male,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,afraid,afraid,afraid,afraid,afraid,afraid
18.0,female,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Slightly afraid,Not afraid,afraid,afraid,Very much afraid,afraid
19.0,female,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,,Strongly agree,afraid,Slightly afraid,Not afraid,Slightly afraid,Not afraid,Very afraid
15.0,female,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Not afraid,Not afraid,Very afraid,Slightly afraid,Not afraid,Not afraid
19.0,female,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Disagree,afraid,,Not afraid,afraid,afraid,Very much afraid
15.0,female,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Not afraid,Slightly afraid,afraid,Not afraid,Not afraid,afraid
19.0,female,Neutral,Agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Not afraid,Very much afraid,Very afraid,Not afraid,Not afraid,afraid
21.0,female,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
19.0,female,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Very much afraid,afraid
17.0,female,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
23.0,female,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Slightly afraid,Very afraid,Very afraid,Very much afraid,Very much afraid,Very afraid
24.0,male,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,afraid,afraid,afraid,Not afraid,Very afraid,Very afraid
19.0,female,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Not afraid,Not afraid,afraid,Slightly afraid,Very much afraid,Very afraid
19.0,female,Neutral,Disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Slightly afraid,Slightly afraid,afraid,Not afraid,afraid,Slightly afraid
22.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Not afraid,afraid,Very much afraid,Very much afraid,Very much afraid,Slightly afraid
20.0,female,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Not afraid,Not afraid,afraid,Very much afraid,afraid,Slightly afraid
21.0,female,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,male,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid
19.0,male,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Very afraid,Slightly afraid,Very afraid,Very much afraid,Very much afraid,Not afraid
18.0,female,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Agree,afraid,Slightly afraid,afraid,Not afraid,Not afraid,Not afraid
19.0,male,Disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Not afraid,Not afraid,Slightly afraid,Very much afraid,afraid,afraid
20.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,afraid,Very afraid,afraid,afraid,afraid,Very much afraid
22.0,male,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Neutral,Disagree,Not afraid,Very afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,male,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Very afraid,Not afraid,afraid
20.0,female,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,afraid
27.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Very much afraid,Very much afraid,afraid,afraid,afraid,afraid
19.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Slightly afraid,Slightly afraid,afraid,afraid,Very afraid,afraid
22.0,male,Disagree,Strongly disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Not afraid,Very afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid
19.0,male,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Very afraid,Slightly afraid
20.0,male,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very afraid
21.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Very afraid,Not afraid
16.0,female,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Not afraid,Not afraid,Very afraid,Not afraid,afraid,Very much afraid
19.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Not afraid,Not afraid,afraid,Not afraid,Slightly afraid,Very afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Neutral,Very afraid,Slightly afraid,afraid,Very afraid,Very afraid,Very afraid
23.0,male,Agree,Agree,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid,Not afraid
19.0,male,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Not afraid,Slightly afraid,Very much afraid,Very much afraid,Very afraid,Very much afraid
22.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,afraid,Slightly afraid,Very afraid,afraid,Very much afraid,Very much afraid
18.0,female,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid
20.0,male,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,afraid,Very much afraid,afraid,Not afraid,Very much afraid,Very afraid
25.0,female,Agree,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Very much afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid
18.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Not afraid,Not afraid,Slightly afraid,afraid,Very afraid,Not afraid
20.0,female,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Very much afraid,Very afraid,afraid,Very much afraid,afraid,afraid
15.0,female,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Agree,afraid,afraid,Slightly afraid,Very much afraid,Not afraid,Very afraid
19.0,female,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Not afraid,Very much afraid,Slightly afraid,Not afraid,Not afraid,Very afraid
19.0,female,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,afraid,afraid,afraid,Very afraid,Very much afraid,Slightly afraid
16.0,female,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid,afraid
19.0,male,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
18.0,female,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid
15.0,male,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,afraid,Not afraid,Slightly afraid,afraid,Not afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,afraid,Slightly afraid,Not afraid,Not afraid,Not afraid,afraid
20.0,male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Slightly afraid,Not afraid,Not afraid,afraid,afraid,Slightly afraid
20.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Very afraid
20.0,female,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Not afraid,afraid,afraid,Slightly afraid,afraid,afraid
19.0,male,Strongly disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Very much afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
16.0,female,Neutral,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Very much afraid,Very much afraid,Very much afraid,Very much afraid,afraid,afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Slightly afraid,Not afraid,Slightly afraid,Very afraid,Not afraid,Very much afraid
20.0,male,Strongly agree,Neutral,Neutral,Strongly agree,,Disagree,Disagree,Disagree,Disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very much afraid
16.0,female,Agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly agree,afraid,afraid,afraid,afraid,afraid,Slightly afraid
18.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,afraid,afraid,afraid,Slightly afraid,Very afraid,Not afraid
20.0,male,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Not afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,Very afraid
18.0,female,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,afraid,Slightly afraid,Slightly afraid,Not afraid,afraid,Very much afraid
19.0,male,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid
19.0,female,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neutral,Agree,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,female,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Very much afraid,Very afraid,Slightly afraid,Very afraid,Not afraid,afraid
18.0,male,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Very much afraid,Not afraid,Not afraid,Very afraid,afraid,afraid
17.0,female,Neutral,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,afraid
22.0,female,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,,Strongly disagree,Neutral,Neutral,afraid,Very much afraid,Very afraid,afraid,Very afraid,Very much afraid
17.0,male,Disagree,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
22.0,female,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Very much afraid,Very much afraid,Very afraid,afraid,Very much afraid,Not afraid
16.0,female,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly agree,Neutral,afraid,Not afraid,Not afraid,Very afraid,Not afraid,Slightly afraid
24.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Strongly agree,Agree,afraid,Slightly afraid,Not afraid,Not afraid,Very afraid,afraid
17.0,male,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Slightly afraid
17.0,male,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Very afraid,Not afraid,Not afraid,Very afraid,Not afraid,afraid
17.0,male,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neutral,afraid,Not afraid,Not afraid,Very afraid,Not afraid,Slightly afraid
15.0,female,Disagree,Neutral,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,afraid,Very much afraid,Very much afraid,Very afraid,Very much afraid,Very much afraid
18.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,afraid,Very afraid,afraid,Slightly afraid,Very afraid,Not afraid
18.0,female,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Not afraid,Very afraid,Very afraid,Very afraid,afraid,Not afraid
16.0,male,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Not afraid,Very afraid,Very afraid,Not afraid,Very much afraid,Slightly afraid
20.0,female,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Slightly afraid,Slightly afraid,afraid,Slightly afraid,Very afraid,afraid
29.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,afraid,Very afraid,Very afraid,afraid,afraid,Very afraid
24.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Very much afraid,Very afraid,afraid,Very much afraid,Not afraid,afraid
18.0,female,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Slightly afraid,Slightly afraid,afraid,afraid,Slightly afraid,afraid
17.0,male,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Not afraid
18.0,male,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Very much afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,Very much afraid
16.0,male,Neutral,Neutral,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Not afraid,Not afraid,Slightly afraid,Not afraid,Very afraid,Not afraid
17.0,female,Neutral,Disagree,Strongly disagree,,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Not afraid,Very much afraid,Very afraid,Not afraid,afraid,Slightly afraid
20.0,male,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid,afraid
16.0,female,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Neutral,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid,Very afraid
19.0,male,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,afraid,afraid,afraid,afraid,Not afraid,afraid
18.0,female,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Slightly afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,afraid
20.0,female,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Not afraid,Not afraid,afraid,afraid,afraid,Slightly afraid
19.0,male,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Neutral,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
18.0,male,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Not afraid,Not afraid,Not afraid,Very afraid,Slightly afraid,Slightly afraid
21.0,male,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Not afraid,Not afraid,Not afraid,Very much afraid,afraid,Slightly afraid
19.0,male,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,afraid,Not afraid,afraid,Very much afraid,afraid,Very afraid
20.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Very much afraid,Not afraid,afraid,afraid,afraid,Very afraid
23.0,female,Agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Very afraid,Not afraid,Slightly afraid,afraid,Very much afraid,Very much afraid
19.0,female,Agree,Strongly disagree,Disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Slightly afraid,Slightly afraid,Very afraid,Not afraid,Very much afraid,Not afraid
19.0,female,Strongly agree,Strongly disagree,,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Not afraid,Not afraid,Not afraid,Very afraid,Slightly afraid,Very afraid
19.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid
20.0,male,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,afraid
24.0,male,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Not afraid
19.0,male,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,afraid,Slightly afraid,Slightly afraid,afraid,Not afraid,afraid
20.0,male,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid,afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid
17.0,male,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid,afraid
19.0,female,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,afraid,Very much afraid,Very much afraid,Very afraid,Slightly afraid,afraid
19.0,female,Disagree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Slightly afraid,Very afraid,Not afraid,afraid,Not afraid,Not afraid
20.0,male,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
20.0,male,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
21.0,female,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,afraid,afraid,afraid,Very much afraid,Very afraid,Very much afraid
20.0,female,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,afraid,Slightly afraid,Slightly afraid,afraid,Very much afraid,Very much afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,afraid,Very afraid,Very much afraid,Very afraid,Not afraid,afraid
17.0,female,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Very afraid
20.0,female,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Slightly afraid,Very afraid,Very much afraid,afraid,Very much afraid,Not afraid
25.0,male,Neutral,Neutral,Neutral,Strongly agree,Agree,Disagree,Agree,Neutral,Strongly agree,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid
20.0,female,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Agree,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,afraid
21.0,female,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,afraid
21.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid,Very afraid
22.0,male,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Slightly afraid,Not afraid,Not afraid,afraid,afraid,afraid
19.0,female,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid,afraid,Very much afraid
25.0,male,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid
19.0,female,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Not afraid,Not afraid,afraid,afraid,Slightly afraid,Very afraid
25.0,female,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,afraid
25.0,female,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Slightly afraid,Slightly afraid,Not afraid,Very afraid,Slightly afraid,Slightly afraid
21.0,female,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Not afraid,afraid,Very much afraid,Very much afraid,Not afraid,afraid
20.0,male,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Not afraid,Slightly afraid
24.0,female,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,afraid,afraid,afraid,afraid,Slightly afraid,Very much afraid
30.0,female,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,afraid,Very afraid,afraid,Slightly afraid,Slightly afraid,Very afraid
21.0,male,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid,Not afraid
27.0,male,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Very afraid,Very afraid,Very much afraid,Very much afraid,Very much afraid,Slightly afraid
21.0,male,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
